uai;uo_lib;sigle;type_d_etablissement;secteur_d_etablissement;url;coordonnees;element_wikidata;rattachement;rattachement_identifiants;dernier_decret_legifrance;localisation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;siret;identifiant_eter;identifiant_freebase;statut_juridique_court;statut_juridique_long;qualification_court;qualification_long;compte_facebook;compte_twitter;compte_flickr;flux_rss;compte_linkedin;compte_pinterest;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_viadeo;compte_dailymotion;compte_vimeo;compte_youtube;compte_googleplus;autres;mooc;statut_operateur_lolf;libelle_mission_chef_de_file;identifiant_programme_lolf_chef_de_file;libelle_programme_lolf_chef_de_file;identifiants_autres_programmes_lolf;libelles_autres_programmes_lolf;association;association_identifiants
0772502B;Université Paris-Est Marne-la-Vallée;UPEM;Université;Public;http://www.u-pem.fr/;48.8396, 2.58651;http://www.wikidata.org/entity/Q501207;;;;Île-de-France>Créteil>Seine-et-Marne>Champs-sur-Marne;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;;5 BOULEVARD DESCARTES;CHAMPS SUR MARNE;;77454;MARNE LA VALLEE CEDEX;;0160957500;19932056500492;FR0223;http://www.freebase.com/m/03cpg68;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/upemlv;https://twitter.com/upemlv;http://www.flickr.com/photos/upemlv/;http://www.univ-mlv.fr/rss;;http://fr.pinterest.com/upemlv/a-laffiche/;;;;;;;;http://www.youtube.com/user/comupemlv;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0342255S;Languedoc-Roussillon Universités;;Communauté d'universités et établissements;Public;http://www.pres-suddefrance.fr/index.php;43.6158, 3.87173;http://www.wikidata.org/entity/Q2476558;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030002112&dateTexte=&categorieLien=id;Languedoc-Roussillon>Hérault>Montpellier;34172;Montpellier;UU34701;Montpellier;D034;Hérault;A11;Montpellier;R91;Languedoc-Roussillon;INSTITUT DE BOTANIQUE;163 RUE AUGUSTE BROUSSONNET;;;34080;MONTPELLIER;;;;;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/COMUE-LR/116649255059902;https://twitter.com/COMUE_LR;;;;;;;;;;http://www.dailymotion.com/UMSF;;https://www.youtube.com/user/CampusMagLR?feature=watch;https://plus.google.com/100843629141144157727;;;Non_Opérateur_LOLF_2014;;150;;;;;
0383412C;Université Grenoble Alpes;;Communauté d'universités et établissements;Public;http://www.univ-grenoble-alpes.fr/;45.1875, 5.76851;http://www.wikidata.org/entity/Q3551589;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030001764&dateTexte=&categorieLien=id;Rhône-Alpes>Grenoble>Isère>Saint-Martin-d'Hères;38421;Saint-Martin-d'Hères;UU38701;Grenoble;D038;Isère;A08;Grenoble;R82;Rhône-Alpes;DE LA HOUILLE BLANCHE;271 RUE;Bâtiment les taillées;52;38402;ST MARTIN D HERES CEDEX;;;13000674500017;FR0077;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
0694094A;Université de Lyon;UDL;Communauté d'universités et établissements;Public;http://www.universite-lyon.fr/;45.7459, 4.85079;http://www.wikidata.org/entity/Q10176;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030199354&dateTexte=&categorieLien=id;Rhône-Alpes>Lyon>Rhône>Lyon 7e;69387;Lyon 7e;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;37 RUE DU REPOS;;;69007;LYON;;0437372670;;;http://www.freebase.com/m/03566d;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Universit%C3%A9-de-Lyon/127327120658325;https://twitter.com/UniversiteLyon;;http://www.universite-lyon.fr/outils1/s-abonner-au-flux-d-actualites-de-l-universite-de-lyon-128949.kjsp?RH=PRINC-FR&RF=1260209855408_5;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
0912274C;Université Paris-Saclay;;Communauté d'universités et établissements;Public;https://www.universite-paris-saclay.fr/fr;48.707848, 2.152462;http://www.wikidata.org/entity/Q3248808;;;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030001707&dateTexte=&categorieLien=id;Île-de-France>Versailles>Essonne>Saint-Aubin;91538;Saint-Aubin;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;;ROUTE DE L'ORME AUX MERISIERS - RD 128;ESPACE TECHNOLOGIQUE - BÂTIMENT DISCOVERY;;91190;ST AUBIN;;;;;http://www.freebase.com/m/0h7njxz;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UParisSaclay;https://twitter.com/U_ParisSaclay;;;https://www.linkedin.com/company/universit%C3%A9-paris-saclay?trk=cws-cpw-coname-0-0;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
;Université confédérale Léonard de Vinci;;Communauté d'universités et établissements;Public;;47.3965, 0.681115;;;;http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030890104;;;;;;;;;;;;;;;;;;;;;;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;;;;;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;150;;;;;
0590343C;Groupe Institut supérieur d'agriculture de Lille;Isa;Autre établissement;Privé;http://www.isa-lille.fr/;50.633493, 3.047428;http://www.wikidata.org/entity/Q3117452;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;Nord-Pas-de-Calais>Nord>Lille;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;;48 BOULEVARD VAUBAN;;;59046;LILLE CEDEX;;0328384848;78370707800011;FR0117;;Association;Association;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://fr-fr.facebook.com/GroupeISA;https://twitter.com/ISA_Lille;;http://www.isa-lille.fr/rss.xml;https://www.linkedin.com/company/isa-lille;;;;;;;;;https://www.youtube.com/user/groupeisalille;https://plus.google.com/114455033419120888602/posts;https://instagram.com/isa_lille/;;Non_Opérateur_LOLF_2014;;;;;;;
0590347G;Institut supérieur de l'électronique et du numérique;Isen-Lille;Autre établissement;Privé;http://www.isen.fr/;50.634181, 3.048712;http://www.wikidata.org/entity/Q3152574;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;Nord-Pas-de-Calais>Nord>Lille;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R31;Nord-Pas-de-Calais;;41 BOULEVARD VAUBAN;;;59046;LILLE CEDEX;;0320304057;78370700300027;FR0235;;Association;Association;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/Groupe.ISEN;https://twitter.com/isenlille;;;;;;;;;;;;https://www.youtube.com/user/ISENLille;https://plus.google.com/105107578421110771923;;;Non_Opérateur_LOLF_2014;;;;;;;
0941954N;École supérieure d'ingénieurs des travaux de la construction de Cachan;ESITC;Autre établissement;Privé;http://www.esitc-cachan.fr/;48.793468, 2.330457;http://www.wikidata.org/entity/Q3578412;;;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;Île-de-France>Créteil>Val-de-Marne>Cachan;94016;Cachan;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;;28 AVENUE DU PRESIDENT WILSON;;;94234;CACHAN CEDEX;;0149085650;39433164900019;FR0269;;Association;Association;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/esitc;https://twitter.com/esitc_cachan;;;;;;;;;;;;;;;;Non_Opérateur_LOLF_2014;;;;;;;
0942340H;École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP;Établissements d'enseignement supérieur privés rattachés à un EPSCP;Privé;http://www.estp.fr/;48.793468, 2.330457;http://www.wikidata.org/entity/Q273483;École nationale supérieure d'arts et métiers;0753237L;http://www.enseignementsup-recherche.gouv.fr/pid20536/bulletin-officiel.html?cid_bo=91459&cbo=1;Île-de-France>Créteil>Val-de-Marne>Cachan;94016;Cachan;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;;28 AVENUE PDT WILSON;;;94230;CACHAN;;;;FR0272;;Association;Association;EESPIG;Établissement d’enseignement supérieur privé d’intérêt général;https://www.facebook.com/estpparis;https://twitter.com/estpparis;;;https://www.linkedin.com/edu/school?id=12401&trk=edu-cp-title;;;;;;http://www.viadeo.com/fr/company/estp;;;;;;;Non_Opérateur_LOLF_2014;;;;;;;
0861288H;Centre national d'enseignement à distance;CNED;Autre établissement;Public;http://www.cned.fr/;46.6512, 0.372263;http://www.wikidata.org/entity/Q2350714;;;;Poitou-Charentes>Vienne>Chasseneuil-du-Poitou;86062;Chasseneuil-du-Poitou;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R54;Poitou-Charentes;;;ASTERAMA 2 AV DU TELEPOR;300;86960;CHASSENEUIL CEDEX;;0549493400;;;http://www.freebase.com/m/0d98ld;EPA;Établissement public à caractère administratif;;;;;;http://www.cned.fr/rss/communiques-de-presse.xml;;;;;;;;;;https://www.youtube.com/channel/UCzMVJYITALSjKh_vko5yCfw;https://plus.google.com/109936534752826647229/about;;;Opérateurs LOLF Hors MIRES 2014;Enseignement scolaire;214;Soutien de la politique de l'éducation nationale;;;;
0811293R;Institut national universitaire Jean-François Champollion;INU Albi;Autre établissement;Public;http://www.univ-jfc.fr/;43.92, 2.139;http://www.wikidata.org/entity/Q929515;;;http://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000031496966;Midi-Pyrénées>Tarn>Albi;81004;Albi;UU81502;Albi;D081;Tarn;A16;Toulouse;R73;Midi-Pyrénées;;PLACE DE VERDUN;;;81012;ALBI CEDEX 9;;0563486400;19811201300018;FR0233;http://www.freebase.com/m/03cp9c5;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universite.champollion;https://twitter.com/UnivChampollion;https://www.flickr.com/photos/universite_champollion/;http://www.univ-jfc.fr/rss.xml;;;;;;;;;;https://www.youtube.com/user/UnivChampollion;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
1260001S;École française d'Athènes;EFA;École française à l'étranger;Public;http://www.efa.gr/;37.982222, 23.737778;http://www.wikidata.org/entity/Q273548;;;;Étranger>Athènes;;Athènes;SO;Étranger;D999;Étranger;A99;Étranger;R99;Étranger;;6 RUE DIDOTOU;;;;106 80 ATHENES;GRECE;302103679900;;;http://www.freebase.com/m/03c629r;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/%C3%89cole-Fran%C3%A7aise-dAth%C3%A8nes/474935445909878?hc_location=timeline;;;http://www.efa.gr/index.php/fr/?option=com_ninjarsssyndicator&feed_id=1&format=raw;;;;;;;;;;https://www.youtube.com/channel/UCfNiJOVSuzip7bB1VKpySyQ/feed;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0631833A;Institut français de mécanique avancée;IFMA;Écoles habilitées à délivrer un diplôme d'ingénieur;Public;http://www.ifma.fr/;45.7566, 3.10458;http://www.wikidata.org/entity/Q3152285;;;;Auvergne>Puy-de-Dôme>Aubière;63014;Aubière;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R83;Auvergne;;;CAMPUS DES CEZEAUX;265;63175;AUBIERE CEDEX;;0473288000;19630081800016;FR0139;;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/MyIFMA;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0650048Z;École nationale d'ingénieurs de Tarbes;ENI Tarbes;Écoles nationales supérieures d'ingénieurs;Public;http://www.enit.fr/;43.2252, 0.05325;http://www.wikidata.org/entity/Q3578096;Institut national polytechnique de Toulouse;0311381H;;Midi-Pyrénées>Hautes-Pyrénées>Tarbes;65440;Tarbes;UU65501;Tarbes;D065;Hautes-Pyrénées;A16;Toulouse;R73;Midi-Pyrénées;;47 AVENUE D'AZEREIX;;1629;65016;TARBES CEDEX;;0562442700;19650048200019;FR0143;http://www.freebase.com/m/04n3yz7;EPA;Établissement public à caractère administratif;;;;;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0350077U;École nationale supérieure de chimie de Rennes;ENS Chimie Rennes;Écoles nationales supérieures d'ingénieurs;Public;http://www.ensc-rennes.fr/;48.1146, -1.6568;http://www.wikidata.org/entity/Q3578223;Université de Rennes 1;0350936C;;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;;11 ALLÉE DE BEAULIEU;;;35708;RENNES CEDEX 7;;0223238000;19350077400016;FR0057;;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/pages/Ecole-nationale-sup%C3%A9rieure-de-chimie-de-Rennes-ENSCR/106800626112738;https://twitter.com/ENSCR;;http://www.ensc-rennes.fr/themes/bas-de-page/rss/;https://www.linkedin.com/groups/ENSCR-%C3%A9cole-nationale-sup%C3%A9rieur-chimie-4292031/about;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0750043P;École d'ingénieur de la ville de Paris;EIVP;Etablissement relevant d'un autre département ministériel rattaché à un EPSCP;Public;http://www.eivp-paris.fr/;48.8741, 2.382;http://www.wikidata.org/entity/Q273515;École nationale des ponts et chaussées;0772517T;;Île-de-France>Paris>Paris>Paris 19e;75119;Paris 19e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;78 RUE REBEVAL;;;75019;PARIS;;0144411133;20000069300024;FR0171;http://www.freebase.com/m/0h98m_r;EPA;Établissement public à caractère administratif;;;https://fr-fr.facebook.com/paris.eivp;https://twitter.com/eivp_paris;;http://www.eivp-paris.fr/index.php/outils/rss?idpage=256&idmetacontenu=2199;https://www.linkedin.com/edu/school?id=12331&trk=tyah&trkInfo=tarId:1415973794009,tas:eivp,idx:2-1-2;;;;;;;;;https://www.youtube.com/user/EIVPCOM/featured;https://plus.google.com/+Eivp-parisFr/posts;;;Non_Opérateur_LOLF_2014;;;;;;;
0670189S;École nationale du génie de l'eau et de l'environnement de Strasbourg;ENGEES;Etablissement relevant d'un autre département ministériel rattaché à un EPSCP;Public;http://engees.unistra.fr/;48.585, 7.75757;http://www.wikidata.org/entity/Q3578160;Université de Strasbourg;0673021V;http://legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030703302;Alsace>Bas-Rhin>Strasbourg;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R42;Alsace;;1 QUAI KOCH;;61039;67070;STRASBOURG CEDEX;;0388248282;19670189000010;FR0147;;EPA;Établissement public à caractère administratif;;;;https://twitter.com/engees_ecole;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0310153Y;École nationale vétérinaire de Toulouse;ENVT;Etablissement relevant d'un autre département ministériel rattaché à un EPSCP;Public;http://www.envt.fr/;43.6004, 1.3819;http://www.wikidata.org/entity/Q3578275;Institut national polytechnique de Toulouse;0311381H;;Midi-Pyrénées>Haute-Garonne>Toulouse;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R73;Midi-Pyrénées;;23 CHEMIN DES CAPELLES;;87614;31076;TOULOUSE CEDEX 3;;0561193800;;;http://www.freebase.com/m/0g5629n;EPA;Établissement public à caractère administratif;;;;;;http://www.envt.fr/les-news-envt.xml;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0753471R;Conservatoire national des arts et métiers;CNAM;Grand établissement;Public;http://www.cnam.fr/;48.867, 2.35463;http://www.wikidata.org/entity/Q524289;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000021292171&fastPos=1&fastReqId=2018633024&oldAction=rechExpTexteJorf;Île-de-France>Paris>Paris>Paris 3e;75103;Paris 3e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;292 RUE SAINT MARTIN;;;75141;PARIS CEDEX 03;;0140272000;19753471200017;FR0193;http://www.freebase.com/m/0281pq;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/LeCnam.formation?rf=110888042265646;https://twitter.com/LeCnam;;http://www.cnam.fr/flux-rss-797.kjsp;https://www.linkedin.com/edu/school?id=12298&trk=tyah&trkInfo=tarId%3A1409666832083%2Ctas%3Acnam%2Cidx%3A4-1-11;;;;http://www.scoop.it/u/le-cnam;;;;;;https://plus.google.com/u/0/+ConservatoireNationaldesArtsetM%C3%A9tiersParis/posts;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0381912X;Grenoble INP;;Grand établissement;Public;http://www.grenoble-inp.fr/;45.1913, 5.71753;http://www.wikidata.org/entity/Q1665121;;;;Rhône-Alpes>Grenoble>Isère>Grenoble;38185;Grenoble;UU38701;Grenoble;D038;Isère;A08;Grenoble;R82;Rhône-Alpes;;46 AVENUE FELIX VIALLET;;;38031;GRENOBLE CEDEX 1;;0476574500;19381912500017;FR0076;http://www.freebase.com/m/04zj5n;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/GrenobleINP;https://twitter.com/grenobleinp;;http://www.grenoble-inp.fr/flux-rss/?RH=INPG_FR-RSS;https://www.linkedin.com/company/grenoble-inp---institut-polytechnique-de-grenoble/;;;;;;http://www.viadeo.com/fr/company/institut-polytechnique-de-grenoble-grenoble-inp/?RH=INPG_FR-VI;;;https://www.youtube.com/user/GrenobleINP;https://plus.google.com/+grenobleinp/posts;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0542493S;Université de Lorraine;;Grand établissement;Public;http://www.univ-lorraine.fr/;48.6962, 6.17634;http://www.wikidata.org/entity/Q14312802;;;;Lorraine>Meurthe-et-Moselle>Nancy;54395;Nancy;UU54701;Nancy;D054;Meurthe-et-Moselle;A12;Nancy-Metz;R41;Lorraine;;34 COURS LEOPOLD;;;54052;NANCY CEDEX;;;13001550600012;FR0105;http://www.freebase.com/m/0j26_sd;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/UnivLorraine;https://twitter.com/Univ_Lorraine/;;http://factuel.univ-lorraine.fr/feed//rss-articles.xml;https://www.linkedin.com/company/universit-de-lorraine;http://www.pinterest.com/univlorraine/;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0750736T;Université Paris-Dauphine;Paris-Dauphine;Grand établissement;Public;http://www.dauphine.fr/;48.871, 2.2741;http://www.wikidata.org/entity/Q1546437;;;;Île-de-France>Paris>Paris>Paris 16e;75116;Paris 16e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;PLACE DU MARECHAL DE TASSIGNY;;;75775;PARIS CEDEX 16;;0144054405;19754692200018;FR0173;http://www.freebase.com/m/0bb169;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/universite.paris.dauphine;https://twitter.com/Paris_Dauphine;https://www.flickr.com/photos/univ-dauphine/;http://www.dauphine.fr/fr/actus/actualites/rss.xml;http://www.linkedin.com/company/universite-paris-dauphine;;;;http://www.scoop.it/t/universite-paris-dauphine;;http://fr.viadeo.com/fr/company/universite-paris-dauphine;;https://vimeo.com/dauphine;https://www.youtube.com/user/univparisdauphine;https://plus.google.com/+UnivParisDauphine;http://www.dauphine.fr/fr/dauphine-mobile.html;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0753465J;Institut des sciences et industries du vivant et de l'environnement;Agro Paris Tech;Grand établissement relevant d'un autre département ministériel;Public;http://www.agroparistech.fr/;48.8393, 2.34879;http://www.wikidata.org/entity/Q1637105;;;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;;16 RUE CLAUDE BERNARD;;;75231;PARIS CEDEX 05;;0144081661;13000285000019;FR0191;http://www.freebase.com/m/03b_dsc;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/AgroParisTech;https://twitter.com/AgroParisTech;;http://www.agroparistech.fr/spip.php?page=backend-agroparistech;;;;;;;;http://www.dailymotion.com/AgroParisTech;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;142;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);;;;
0130221V;Institut d'études politiques d'Aix-en-Provence;IEP d'Aix-en-Provence;Institut d'étude politique;Public;http://www.sciencespo-aix.fr/;43.5312, 5.44707;http://www.wikidata.org/entity/Q1139065;Aix-Marseille université;0134009M;;Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Aix-en-Provence;13001;Aix-en-Provence;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;;25 RUE GASTON DE SAPORTA;;;13625;AIX EN PROVENCE CEDEX 1;;0442170160;;;http://www.freebase.com/m/0603j_;EPA;Établissement public à caractère administratif;;;https://www.facebook.com/SciencesPo.Aix;https://twitter.com/Sciences_Po_Aix;;;;;;;;;;;;;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0690187D;École centrale de Lyon;EC Lyon;Instituts et écoles extérieurs aux universités;Public;http://www.ec-lyon.fr/;45.784, 4.77027;http://www.wikidata.org/entity/Q10177;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000026512132&fastPos=1&fastReqId=2009709206&oldAction=rechExpTexteJorf;Rhône-Alpes>Lyon>Rhône>Écully;69081;Écully;UU00758;Lyon;D069;Rhône;A10;Lyon;R82;Rhône-Alpes;;36 AVENUE GUY DE COLLONGUE;;;69134;ECULLY CEDEX;;0472186000;19690187000010;FR0153;http://www.freebase.com/m/0l9my;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/CentraleLyon;https://twitter.com/CentraleLyon;;http://www.ec-lyon.fr/taxonomy/term/1%2B2%2B3%2B4%2B5%2B6/0/feed;https://www.linkedin.com/groups?gid=2586117;;;;;;;;;https://www.youtube.com/user/EcoleCentraleLyon;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0440100V;Ecole centrale de Nantes;;Instituts et écoles extérieurs aux universités;Public;http://www.ec-nantes.fr/;47.2491, -1.54786;http://www.wikidata.org/entity/Q273458;;;http://www.legifrance.gouv.fr/affichTexte.do?dateTexte=&categorieLien=id&cidTexte=JORFTEXT000000517472&fastPos=1&fastReqId=701362281&oldAction=rechExpTexteJorf;Pays de la Loire>Loire-Atlantique>Nantes;44109;Nantes;UU44701;Nantes;D044;Loire-Atlantique;A17;Nantes;R52;Pays de la Loire;;1 RUE DE LA NOE;;92101;44321;NANTES CEDEX 3;;0240371600;19440100600011;FR0084;http://www.freebase.com/m/0l9n9;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/ECOLE-CENTRALE-DE-NANTES/57286116786#%21/pages/ECOLE-CENTRALE-DE-NANTES/57286116786;https://twitter.com/CentraleNantes;;;;;;;;;;http://www.dailymotion.com/group/ecole-centrale-nantes#video=xmuab6;;https://www.youtube.com/user/centralenantes;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0350097R;Institut national des sciences appliquées de Rennes;INSA Rennes;Instituts et écoles extérieurs aux universités;Public;http://www.insa-rennes.fr/;48.1216, -1.63297;http://www.wikidata.org/entity/Q1934614;;;Abrogé;Bretagne>Ille-et-Vilaine>Rennes;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;;20 AVENUE DES BUTTES DE COESMES;;;35708;RENNES CEDEX 7;;0223238200;19350097200016;FR0061;http://www.freebase.com/m/06vlzk;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/INSA-de-Rennes-Page-Officielle/182840505091727;;;;;;;;;;;;;https://www.youtube.com/user/INSAdeRennes?feature=watch;;http://ueb.saooti.com/fr/player/;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0670190T;Institut national des sciences appliquées de Strasbourg;INSA Strasbourg;Instituts et écoles extérieurs aux universités;Public;http://www.insa-strasbourg.fr/;48.5817, 7.76464;http://www.wikidata.org/entity/Q521036;;;Abrogé;Alsace>Bas-Rhin>Strasbourg;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R42;Alsace;;24 BOULEVARD DE LA VICTOIRE;;;67084;STRASBOURG CEDEX;;0388144700;19672767100014;FR0148;;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/pages/Insa-de-Strasbourg/132470930161050;https://twitter.com/Insa_Strasbourg;;;;;;;;;;;;https://www.youtube.com/user/Insa2Strasbourg/feed;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
0310152X;Institut national des sciences appliquées de Toulouse;INSA Toulouse;Instituts et écoles extérieurs aux universités;Public;http://www.insa-toulouse.fr/;43.5704, 1.46794;http://www.wikidata.org/entity/Q858979;;;Abrogé;Midi-Pyrénées>Haute-Garonne>Toulouse;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R73;Midi-Pyrénées;;135 AVENUE DE RANGUEIL;;;31077;TOULOUSE CEDEX 04;;0561559513;19310152400018;FR0033;http://www.freebase.com/m/04l3bb;EPCSCP;Établissement public à caractère scientifique, culturel et professionnel;;;https://www.facebook.com/INSAToulouse;https://twitter.com/INSAToulouse;;http://www.insa-toulouse.fr/plugins/web/default/fr/filter/org.ametys.web.accueil.RSS/rss.xml;https://www.linkedin.com/groups/INSA-de-Toulouse-1853952?trk=myg_ugrp_ovr;;;;;;http://fr.viadeo.com/fr/groups/?containerId=0021q19whauziley;;;https://www.youtube.com/user/InsaToulouse;;;;Opérateurs MIRES 2014;Recherche et enseignement supérieur;150;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);;;;
